BLEU	sacre_BLEU	sacre_CHRF2
0.38	39.46	73.73
0.00	17.09	58.71
0.00	11.87	53.87
0.25	35.88	60.77
0.14	23.40	62.31
0.35	40.81	64.22
0.26	32.19	59.25
0.34	40.32	70.83
0.22	23.27	38.07
0.38	40.92	59.00
0.40	42.30	69.30
0.45	53.54	58.01
0.00	16.06	50.95
0.57	68.27	77.57
0.54	62.64	78.02
0.00	32.62	55.85
